62,1,153,"000153","Eshelman and Grady",1986
62,2,272,"000272","Weems and Higgins",1977
63,1,205,"000205","Klippel and Parmalee",1982
64,1,15,"000015","Burns",1990
65,1,153,"000153","Eshelman and Grady",1986
66,1,266,"000266","Tomak",1974
66,2,1654,"001654","Richards",0
66,3,1656,"001656","Richards",0
66,4,1653,"001653","Richards",1993
67,1,212,"000212","Lewis",1975
67,2,211,"000211","Lewis",1979
68,1,241,"000241","Parmalee",1964
69,1,232,"000232","Parmalee",1960
70,1,414,"000414","Graham and Graham",1989
70,2,391,"000391","Kim",1982
71,1,145,"000145","Churcher et al",1989
71,2,236,"000236","Parmalee",1963
72,1,447,"000447","Buker",1968
72,2,390,"000390","Lang",1968
73,1,446,"000446","Buker",1970
74,1,188,"000188","White",1963
74,2,187,"000187","Guilday",1963
75,1,189,"000189","Guilday et al",1962
76,1,268,"000268","Webb",1974
76,2,143,"000143","Cleland",1966
77,1,265,"000265","Ziegler",1963
77,2,193,"000193","Heaton",1985
78,1,142,"000142","Carlisle and Adovasio",1982
78,2,315,"000315","Guilday et al",1980
79,1,315,"000315","Guilday et al",1980
80,1,315,"000315","Guilday et al",1980
81,1,315,"000315","Guilday et al",1980
82,1,315,"000315","Guilday et al",1980
83,1,315,"000315","Guilday et al",1980
84,1,315,"000315","Guilday et al",1980
85,1,315,"000315","Guilday et al",1980
86,1,315,"000315","Guilday et al",1980
87,1,315,"000315","Guilday et al",1980
87,2,190,"000190","Guilday and Tanner",1965
88,1,244,"000244","Nale",1963
88,2,315,"000315","Guilday et al",1980
89,1,477,"000477","Kurten and Anderson",1980
89,2,200,"000200","Irving and Harington",1973
89,3,220,"000220","Morlan",1980
90,1,217,"000217","Mead and Mead",1989
90,2,176,"000176","Grayson",1984
90,3,412,"000412","Grayson",1987
91,1,143,"000143","Cleland",1966
92,1,143,"000143","Cleland",1966
93,1,143,"000143","Cleland",1966
94,1,472,"000472","Semken",1983
94,2,379,"000379","Lukens",1963
95,1,143,"000143","Cleland",1966
96,1,143,"000143","Cleland",1966
96,2,177,"000177","Griffin",1966
96,3,472,"000472","Semken",1983
97,1,143,"000143","Cleland",1966
97,2,177,"000177","Griffin",1966
97,3,472,"000472","Semken",1983
98,1,143,"000143","Cleland",1966
98,2,177,"000177","Griffin",1966
98,3,472,"000472","Semken",1983
99,1,143,"000143","Cleland",1966
99,2,177,"000177","Griffin",1966
99,3,472,"000472","Semken",1983
100,1,143,"000143","Cleland",1966
100,2,247,"000247","Ritchie",1965
101,1,247,"000247","Ritchie",1965
101,2,143,"000143","Cleland",1966
102,1,143,"000143","Cleland",1966
102,2,247,"000247","Ritchie",1965
103,1,247,"000247","Ritchie",1965
103,2,25,"000025","Crane and Griffin",1958
104,1,143,"000143","Cleland",1966
104,2,247,"000247","Ritchie",1965
105,1,143,"000143","Cleland",1966
105,2,247,"000247","Ritchie",1965
106,1,143,"000143","Cleland",1966
106,2,339,"000339","Wintemberg",1939
107,1,143,"000143","Cleland",1966
107,2,472,"000472","Semken",1983
108,1,472,"000472","Semken",1983
108,2,2160,"002160","Alex",1968
109,1,143,"000143","Cleland",1966
110,1,143,"000143","Cleland",1966
111,1,143,"000143","Cleland",1966
112,1,143,"000143","Cleland",1966
112,2,2134,"002134","Scott",1985
112,3,438,"000438","Cleland",1970
113,1,230,"000230","Parmalee",1968
114,1,796,"000796","Bryan, A. L.",1979
114,2,69,"000069","Mead et al.",1982
114,3,1745,"001745","Mead et al",1992
115,1,217,"000217","Mead and Mead",1989
115,2,1666,"001666","Heaton",1987
115,3,,"000000","Jefferson",0
116,1,464,"000464","Stewart",1987
117,1,824,"000824","Thomas, D. H., Ed.",1985
117,2,828,"000828","Grayson, D. K.",1985
117,3,2146,"002146","Thompson et al.",1986
118,1,291,"000291","Keene",1988
118,2,378,"000378","Martin and Masulis",1988
119,1,431,"000431","Dyck",1977
119,2,413,"000413","Graham et al",1987
120,1,143,"000143","Cleland",1966
120,2,173,"000173","Greenman",1937
121,1,155,"000155","Faulkner and Graham",1966
121,2,405,"000405","Guilday and Tanner",1966
122,1,415,"000415","Graham",1987
122,2,148,"000148","Dibble and Lorrain",1968
122,3,456,"000456","Dibble",1970
123,1,141,"000141","Bourque",1976
123,2,248,"000248","Spiess et al",1983
123,3,,"000000","Anderson",0
124,1,17,"000017","Cosgrove",1947
124,2,476,"000476","Harris",1985
125,1,321,"000321","Stovall and McAnulty",1950
126,1,321,"000321","Stovall and McAnulty",1950
127,1,321,"000321","Stovall and McAnulty",1950
128,1,321,"000321","Stovall and McAnulty",1950
129,1,321,"000321","Stovall and McAnulty",1950
130,1,321,"000321","Stovall and McAnulty",1950
131,1,321,"000321","Stovall and McAnulty",1950
132,1,321,"000321","Stovall and McAnulty",1950
133,1,207,"000207","Lundelius et al",1983
133,2,352,"000352","Sellards",1940
134,1,207,"000207","Lundelius et al",1983
134,2,18,"000018","Dalquest",1965
134,3,2246,"002246","Dalquest and Schultz",1992
135,1,92,"000092","Slaughter and Ritchie",1963
136,1,91,"000091","Slaughter and Hoover",1963
136,2,207,"000207","Lundelius et al",1983
137,1,415,"000415","Graham",1987
137,2,57,"000057","Johnson et al",1962
138,1,57,"000057","Johnson et al",1962
139,1,57,"000057","Johnson et al",1962
140,1,476,"000476","Harris",1985
140,2,3,"000003","Ayer",1936
140,3,100,"000100","Van Devender et al",1975
140,4,710,"000710","Lundelius",0
141,1,249,"000249","Story and Bryant",1966
141,2,415,"000415","Graham",1987
142,1,249,"000249","Story and Bryant",1966
142,2,415,"000415","Graham",1987
143,1,476,"000476","Harris",1985
143,2,99,"000099","Van Devender and Riskind",1979
144,1,476,"000476","Harris",1985
144,2,99,"000099","Van Devender and Riskind",1979
145,1,476,"000476","Harris",1985
145,2,99,"000099","Van Devender and Riskind",1979
146,1,476,"000476","Harris",1985
146,2,100,"000100","Van Devender et al",1975
147,1,476,"000476","Harris",1985
147,2,66,"000066","Logan",1983
147,3,100,"000100","Van Devender et al",1975
148,1,214,"000214","Lundelius",1967
149,1,476,"000476","Harris",1985
149,2,80,"000080","Ray and Wilson",1979
150,1,415,"000415","Graham",1987
150,2,133,"000133","Alexander",1963
151,1,201,"000201","Jelks",1962
151,2,232,"000232","Lundelius",1962
151,3,463,"000463","Tamers et al",1964
152,1,214,"000214","Lundelius",1967
152,2,415,"000415","Graham",1987
152,3,481,"000481","Tamers et al",1964
153,1,380,"000380","Lundelius",1984
153,2,415,"000415","Graham",1987
153,3,482,"000482","Valastro et al",1977
153,4,483,"000483","Valastro et al",1978
154,1,415,"000415","Graham",1987
154,2,228,"000228","Patton",1963
155,1,415,"000415","Graham",1987
155,2,149,"000149","Dalquest et al",1969
155,3,2244,"002244","Werdelin",1985
156,1,415,"000415","Graham",1987
156,2,249,"000249","Story and Bryant",1966
157,1,251,"000251","Semken",1967
157,2,415,"000415","Graham",1987
158,1,252,"000252","Semken",1961
158,2,214,"000214","Lundelius",1967
159,1,214,"000214","Lundelius",1967
159,2,460,"000460","Pearson et al",1966
159,3,415,"000415","Graham",1987
160,1,214,"000214","Lundelius",1967
160,2,415,"000415","Graham",1987
160,3,460,"000460","Pearson et al",1966
161,1,249,"000249","Story and Bryant",1966
161,2,415,"000415","Graham",1987
162,1,415,"000415","Graham",1987
162,2,270,"000270","Word and Douglas",1970
162,3,144,"000144","Chadderdon",1983
162,4,198,"000198","Hester",1983
163,1,381,"000381","Logan and Black",1979
163,2,100,"000100","Van Devender et al",1975
163,3,476,"000476","Harris",1985
164,1,415,"000415","Graham",1987
164,2,210,"000210","Lord",1984
164,3,461,"000461","Valastro et al",1979
165,1,230,"000230","Lundelius",1992
166,1,68,"000068","Lundelius",1979
167,1,61,"000061","Kegley",1982
168,1,37,"000037","Frison",1968
169,1,101,"000101","Walker",1982
169,2,31,"000031","Frison and Stanford",1982
170,1,369,"000369","Miller et al",1987
170,2,,"000000","Walker",0
171,1,467,"000467","Walker",1987
172,1,39,"000039","Frison",1970
172,2,422,"000422","Frison",1978
173,1,40,"000040","Frison",1968
174,1,37,"000037","Frison",1968
175,1,467,"000467","Walker",1987
175,2,101,"000101","Walker",1982
175,3,31,"000031","Frison and Stanford",1982
176,1,467,"000467","Walker",1987
176,2,127,"000127","Wilson",1974
176,3,32,"000032","Frison",1974
177,1,411,"000411","Greene",1967
177,2,467,"000467","Walker",1987
178,1,467,"000467","Walker",1987
178,2,372,"000372","Miller",1987
179,1,439,"000439","Chomko and Gilbert",1987
179,2,441,"000441","Chomko",1982
179,3,467,"000467","Walker",1987
180,1,439,"000439","Chomko and Gilbert",1987
181,1,467,"000467","Walker",1987
181,2,30,"000030","Frison and Todd",1986
181,3,112,"000112","Walker and Frison",1982
181,4,122,"000122","Walker and Frison",1986
182,1,53,"000053","Irwin-Williams et al",1973
183,1,467,"000467","Walker",1987
183,2,34,"000034","Frison et al",1978
184,1,467,"000467","Walker",1987
184,2,105,"000105","Walker",1975
184,3,126,"000126","Walker",1980
184,4,363,"000363","Reher and Frison",1980
185,1,334,"000334","Guenther",1991
186,1,467,"000467","Walker",1987
186,2,124,"000124","Guilday et al",1967
186,3,42,"000042","Gebhard et al",1964
187,1,106,"000106","Walker",1982
188,1,41,"000041","Frison",1962
189,1,467,"000467","Walker",1987
189,2,44,"000044","Grey",1962
190,1,33,"000033","Frison et al",1976
191,1,72,"000072","Mulloy",1965
192,1,,"000000","Walker",0
193,1,622,"000622","Hill",1991
193,2,332,"000332","Frison",1973
194,1,467,"000467","Walker",1987
194,2,335,"000335","Zeimans et al",1987
195,1,467,"000467","Walker",1987
195,2,125,"000125","Walker and Frison",1980
196,1,35,"000035","Frison",1984
197,1,73,"000073","Mulloy",1959
198,1,422,"000422","Frison",1978
198,2,421,"000421","Frison and Bradley",1980
199,1,467,"000467","Walker",1987
199,2,422,"000422","Frison",1978
199,3,377,"000377","McGrew",1961
200,1,467,"000467","Walker",1987
200,2,422,"000422","Frison",1978
201,1,467,"000467","Walker",1987
201,2,121,"000121","Walker et al",1985
202,1,467,"000467","Walker",1987
202,2,349,"000349","Smith",1970
202,3,320,"000320","Frison and Walker",1984
203,1,467,"000467","Walker",1987
204,1,2041,"002041","Brown",1980
205,1,367,"000367","Pinner",1979
206,1,375,"000375","McGuire",1977
207,1,2,"000002","Anderson",1974
207,2,467,"000467","Walker",1987
208,1,362,"000362","Reiss and Eckles",1990
209,1,371,"000371","Miller",1981
210,1,343,"000343","Truesdale",1985
211,1,388,"000388","Larson et al",1984
212,1,410,"000410","Greer",0
213,1,370,"000370","Miller",1986
213,2,382,"000382","Lobdell",1973
214,1,423,"000423","Frison",1967
215,1,420,"000420","Frison and Huseus",1968
216,1,441,"000441","Chomko",1976
217,1,418,"000418","Fritz",1984
218,1,457,"000457","McKibbin et al",1987
219,1,422,"000422","Frison",1978
220,1,374,"000374","McKern",1987
221,1,373,"000373","McKern",1988
222,1,455,"000455","Albanese and Wilson",1974
223,1,376,"000376","McGrew",1963
224,1,376,"000376","McGrew",1963
225,1,360,"000360","Rohrer",1966
226,1,364,"000364","Reheis et al",1987
227,1,467,"000467","Walker",1987
227,2,419,"000419","Frison and Todd",1987
228,1,467,"000467","Walker",1987
228,2,448,"000448","Buff",1983
229,1,403,"000403","Harrell",1989
230,1,388,"000388","Larson et al",1984
230,2,388,"000388","Larson et al",1984
231,1,467,"000467","Walker",1987
231,2,422,"000422","Frison",1978
231,3,2214,"002214","Sharrock",1966
232,1,355,"000355","Schroedl",1985
233,1,355,"000355","Schroedl",1985
234,1,355,"000355","Schroedl",1985
235,1,355,"000355","Schroedl",1985
236,1,434,"000434","Damon et al",1964
237,1,1,"000001","Agogino and Galloway",1965
238,1,467,"000467","Walker",1987
239,1,465,"000465","Tanner",1984
240,1,402,"000402","Harrell and McKern",1986
241,1,468,"000468","Walker et al",1988
242,1,2167,"002167","Burgett",1990
243,1,337,"000337","Zeimans",1975
244,1,365,"000365","Rapson",1990
245,1,,"000000","Walker",0
246,1,467,"000467","Walker",1987
247,1,348,"000348","Smith and Creasman",1988
248,1,,"000000","Walker",0
249,1,,"000000","Walker",0
250,1,,"000000","Walker",0
251,1,,"000000","Walker",0
252,1,,"000000","Walker",0
253,1,,"000000","Walker",0
254,1,,"000000","Walker",0
255,1,,"000000","Walker",0
256,1,,"000000","Walker",0
257,1,387,"000387","Latady et al",1987
258,1,387,"000387","Latady et al",1987
259,1,387,"000387","Latady et al",1987
260,1,457,"000457","McKibbin et al",1987
261,1,457,"000457","McKibbin et al",1987
262,1,8,"000008","Bliss",1950
263,1,2,"000002","Anderson",1974
263,2,467,"000467","Walker",1987
264,1,2,"000002","Anderson",1974
264,2,467,"000467","Walker",1987
265,1,2,"000002","Anderson",1974
265,2,467,"000467","Walker",1987
266,1,2,"000002","Anderson",1974
266,2,467,"000467","Walker",1987
267,1,2,"000002","Anderson",1974
267,2,467,"000467","Walker",1987
268,1,104,"000104","Walker and Todd",1984
269,1,103,"000103","Walker",1990
270,1,103,"000103","Walker",1990
271,1,102,"000102","Walker",1990
272,1,436,"000436","Eckerle",0
273,1,132,"000132","Wyckoff",1991
273,2,1732,"001732","Oklahoma Archeological Society",1993
274,1,432,"000432","Davis",1987
274,2,67,"000067","Lopez",1973
275,1,20,"000020","Drass",1979
276,1,79,"000079","Pillaert",1962
277,1,90,"000090","Slaughter",1966
277,2,207,"000207","Lundelius et al",1983
277,3,432,"000432","Davis",1987
278,1,399,"000399","Hofman",1971
279,1,78,"000078","Pillaert",1963
280,1,432,"000432","Davis",1987
280,2,361,"000361","Richard",1971
281,1,88,"000088","Shaeffer",1965
282,1,81,"000081","Ray",1965
282,2,432,"000432","Davis",1987
283,1,65,"000065","Lintz",1976
284,1,328,"000328","Ray",1960
285,1,89,"000089","Sharrock",1960
286,1,386,"000386","Lawton",1968
286,2,432,"000432","Davis",1987
287,1,87,"000087","Schneider",1969
288,1,6,"000006","Baldwin",1969
289,1,51,"000051","Howard",1970
290,1,21,"000021","Duffield",1969
291,1,21,"000021","Duffield",1969
292,1,97,"000097","Sudbury",1968
293,1,11,"000011","Brooks et al",1985
294,1,11,"000011","Brooks et al",1985
295,1,11,"000011","Brooks et al",1985
296,1,11,"000011","Brooks et al",1985
297,1,11,"000011","Brooks et al",1985
298,1,11,"000011","Brooks et al",1985
299,1,11,"000011","Brooks et al",1985
300,1,11,"000011","Brooks et al",1985
301,1,368,"000368","Peterson et al",1982
302,1,74,"000074","Neel",1984
303,1,12,"000012","Brooks and Drass",1984
304,1,13,"000013","Brooks",1987
305,1,54,"000054","Isreal",1979
306,1,449,"000449","Buehler",1990
307,1,449,"000449","Buehler",1990
308,1,449,"000449","Buehler",1990
309,1,449,"000449","Buehler",1990
310,1,9,"000009","Baugh",1984
310,2,10,"000010","Flynn",1984
311,1,432,"000432","Davis",1987
311,2,317,"000317","Galm and Flynn",1978
312,1,432,"000432","Davis",1987
312,2,317,"000317","Galm and Flynn",1978
313,1,28,"000028","Butler and Yates",1982
313,2,424,"000424","Ferring",1982
314,1,28,"000028","Butler and Yates",1982
314,2,424,"000424","Ferring",1982
315,1,28,"000028","Butler and Yates",1982
315,2,424,"000424","Ferring",1982
316,1,432,"000432","Davis",1987
316,2,28,"000028","Butler and Yates",1982
316,3,424,"000424","Ferring",1982
317,1,432,"000432","Davis",1987
317,2,28,"000028","Butler and Yates",1982
317,3,424,"000424","Ferring",1982
318,1,432,"000432","Davis",1987
318,2,28,"000028","Butler and Yates",1982
318,3,424,"000424","Ferring",1982
319,1,432,"000432","Davis",1987
319,2,28,"000028","Butler and Yates",1982
319,3,424,"000424","Ferring",1982
320,1,84,"000084","Saunders and Penman",1979
321,1,77,"000077","Penman",1975
321,2,432,"000432","Davis",1987
322,1,29,"000029","Butler",1978
322,2,432,"000432","Davis",1987
323,1,29,"000029","Butler",1978
323,2,432,"000432","Davis",1987
324,1,48,"000048","Henry",1978
324,2,432,"000432","Davis",1987
325,1,29,"000029","Butler",1978
325,2,432,"000432","Davis",1987
326,1,47,"000047","Henry et al",1979
326,2,432,"000432","Davis",1987
