"","siteid","sitename","primary","datasetid","publicationid","pubtypeid","pubtype","year","citation","articletitle","journal","volume","issue","pages","citationnumber","doi","booktitle","numvolumes","edition","volumetitle","seriestitle","seriesvolume","publisher","url","city","state","country","originallanguage","notes","author_order","author_familyname","author_givennames"
"16","5180","Arredondo 1B",NA,"6476","1541","3","Authored Book","1980","Kurtén, B.O.L, and E. Anderson. 1980. Pleistocene mammals of North America. Columbia University Press, New York, New York, USA.",NA,NA,NA,NA,NA,NA,NA,"Pleistocene mammals of North America",NA,NA,NA,NA,NA,"Columbia University Press",NA,"New York","New York","USA",NA,NA,"1","Kurtén","Björn Olof Lennartson"
"17","5180","Arredondo 1B",NA,"6476","1541","3","Authored Book","1980","Kurtén, B.O.L, and E. Anderson. 1980. Pleistocene mammals of North America. Columbia University Press, New York, New York, USA.",NA,NA,NA,NA,NA,NA,NA,"Pleistocene mammals of North America",NA,NA,NA,NA,NA,"Columbia University Press",NA,"New York","New York","USA",NA,NA,"2","Anderson","Elaine"
"18","5181","Arredondo 2A",NA,"6477","1541","3","Authored Book","1980","Kurtén, B.O.L, and E. Anderson. 1980. Pleistocene mammals of North America. Columbia University Press, New York, New York, USA.",NA,NA,NA,NA,NA,NA,NA,"Pleistocene mammals of North America",NA,NA,NA,NA,NA,"Columbia University Press",NA,"New York","New York","USA",NA,NA,"1","Kurtén","Björn Olof Lennartson"
"19","5181","Arredondo 2A",NA,"6477","1541","3","Authored Book","1980","Kurtén, B.O.L, and E. Anderson. 1980. Pleistocene mammals of North America. Columbia University Press, New York, New York, USA.",NA,NA,NA,NA,NA,NA,NA,"Pleistocene mammals of North America",NA,NA,NA,NA,NA,"Columbia University Press",NA,"New York","New York","USA",NA,NA,"2","Anderson","Elaine"
"20","5201","Kendrick 1A",NA,"6499","1541","3","Authored Book","1980","Kurtén, B.O.L, and E. Anderson. 1980. Pleistocene mammals of North America. Columbia University Press, New York, New York, USA.",NA,NA,NA,NA,NA,NA,NA,"Pleistocene mammals of North America",NA,NA,NA,NA,NA,"Columbia University Press",NA,"New York","New York","USA",NA,NA,"1","Kurtén","Björn Olof Lennartson"
"21","5201","Kendrick 1A",NA,"6499","1541","3","Authored Book","1980","Kurtén, B.O.L, and E. Anderson. 1980. Pleistocene mammals of North America. Columbia University Press, New York, New York, USA.",NA,NA,NA,NA,NA,NA,NA,"Pleistocene mammals of North America",NA,NA,NA,NA,NA,"Columbia University Press",NA,"New York","New York","USA",NA,NA,"2","Anderson","Elaine"
"22","14417","Haile 7C","TRUE","22579","1552","1","Journal Article","1997","Hulbert, R.C. 1997. A new Late Pliocene porcupine (Rodentia: Erethizontidae) from Florida. Journal of Vertebrate Paleontology 17(3):623-626.","A new Late Pliocene porcupine (Rodentia: Erethizontidae) from Florida","Journal of Vertebrate Paleontology","17","3","623-626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Hulbert","Richard C."
"23","23674","Inglis IA [Inglis 1A]","FALSE","40964","1552","1","Journal Article","1997","Hulbert, R.C. 1997. A new Late Pliocene porcupine (Rodentia: Erethizontidae) from Florida. Journal of Vertebrate Paleontology 17(3):623-626.","A new Late Pliocene porcupine (Rodentia: Erethizontidae) from Florida","Journal of Vertebrate Paleontology","17","3","623-626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Hulbert","Richard C."
"24","14435","Santa Fe River 1 (includes 1A & 1B)","FALSE","22598","1555","3","Authored Book","1981","Gillette, D.D., and C.E. Ray. 1981. Glyptodonts of North America. Smithsonian Contributions to Paleobiology 40. Smithsonian Institution Press, Washington, DC, USA.",NA,NA,NA,NA,NA,NA,"10.5479/si.00810266.40.1","Glyptodonts of North America",NA,NA,NA,"Smithsonian Contributions to Paleobiology","40","Smithsonian Institution Press",NA,"Washington","DC","USA",NA,NA,"1","Gillette","David D."
"25","14435","Santa Fe River 1 (includes 1A & 1B)","FALSE","22598","1555","3","Authored Book","1981","Gillette, D.D., and C.E. Ray. 1981. Glyptodonts of North America. Smithsonian Contributions to Paleobiology 40. Smithsonian Institution Press, Washington, DC, USA.",NA,NA,NA,NA,NA,NA,"10.5479/si.00810266.40.1","Glyptodonts of North America",NA,NA,NA,"Smithsonian Contributions to Paleobiology","40","Smithsonian Institution Press",NA,"Washington","DC","USA",NA,NA,"2","Ray","Clayton E."
"26","16435","Silver Springs Fauna","TRUE","25583","1584","1","Journal Article","1997","Morgan, G.S., and K.L. Seymour. 1997. Fossil history of the panther (Puma concolor) and the cheetah-like cat (Miracinonyx inexpectatus) in Florida. Bulletin of the Florida Museum of Natural History 40(2):177-219.","Fossil history of the panther (Puma concolor) and the cheetah-like cat (Miracinonyx inexpectatus) in Florida","Bulletin of the Florida Museum of Natural History","40","2","177-219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Morgan","Gary S."
"27","16435","Silver Springs Fauna","TRUE","25583","1584","1","Journal Article","1997","Morgan, G.S., and K.L. Seymour. 1997. Fossil history of the panther (Puma concolor) and the cheetah-like cat (Miracinonyx inexpectatus) in Florida. Bulletin of the Florida Museum of Natural History 40(2):177-219.","Fossil history of the panther (Puma concolor) and the cheetah-like cat (Miracinonyx inexpectatus) in Florida","Bulletin of the Florida Museum of Natural History","40","2","177-219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Seymour","Kevin L."
"28","16579","Orange Lake 2A","TRUE","26009","1584","1","Journal Article","1997","Morgan, G.S., and K.L. Seymour. 1997. Fossil history of the panther (Puma concolor) and the cheetah-like cat (Miracinonyx inexpectatus) in Florida. Bulletin of the Florida Museum of Natural History 40(2):177-219.","Fossil history of the panther (Puma concolor) and the cheetah-like cat (Miracinonyx inexpectatus) in Florida","Bulletin of the Florida Museum of Natural History","40","2","177-219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Morgan","Gary S."
