"gddid","title","pubname","authors","hits","URL","publisher","doi","coverDate","highlight","publicationid"
"54b43248e138239d86849e25","Late Glacial and Holocene vegetation history and paleoclimate of the Kaibab Plateau, Arizona","Palaeogeography, Palaeoclimatology, Palaeoecology","Weng, Chengyu; Jackson, Stephen T","1","http://www.sciencedirect.com/science/article/pii/S003101829900070X","Elsevier","10.1016/S0031-0182(99)00070-X","15 September 1999","The resin sac pattern in the needles of Engelmann spruce and blue spruce from southeastern Wyoming.","7495"
"54b4326ce138239d868500b5","Ultrastructure of exine of gymnospermous pollen grains from Jurassic and basal Cretaceous deposits in Northwest Europe and implications for botanical relationships","Review of Palaeobotany and Palynology","Batten, D.J.; Dutta, R.J.","1","http://www.sciencedirect.com/science/article/pii/S0034666797000365","Elsevier","10.1016/S0034-6667(97)00036-5","2 December 1997","More closely compa-  rable are the grains that Harris (1974) isolated from a pollen sac in the type specimen","16332"
"54b4326be138239d86850028","Fine-resolution Upper Weichselian and Holocene palynological record from Navarrés (Valencia, Spain) and a discussion about factors of Mediterranean forest succession","Review of Palaeobotany and Palynology","Carrión, J.S.; Van Geel, B.","1","http://www.sciencedirect.com/science/article/pii/S0034666799000093","Elsevier","10.1016/S0034-6667(99)00009-3","August 1999","alveoli and thick proximal exine, and P. halepensis type (also including P. pinea) based on its large sac","1065"
"58ceb252cf58f169c91b6799","Revision of the New Zealand species of Mecyclothorax Sharp (Coleoptera: Carabidae: Psydrinae, Mecyclothoracini) and the consequent removal of several species to Meonochilus gen. n. (Psydrinae, Meonini)","New Zealand Entomologist","Liebherr, James K.; Marris, John W. M.","5","http://www.tandfonline.com/doi/abs/10.1080/00779962.2009.9722172","Taylor and Francis","10.1080/00779962.2009.9722172","2009 02","; 2, a lightly sclerotised, spicule-covered dorsal plate associated with the male aedeagal internal sac","15646"
"58ceb252cf58f169c91b6799","Revision of the New Zealand species of Mecyclothorax Sharp (Coleoptera: Carabidae: Psydrinae, Mecyclothoracini) and the consequent removal of several species to Meonochilus gen. n. (Psydrinae, Meonini)","New Zealand Entomologist","Liebherr, James K.; Marris, John W. M.","5","http://www.tandfonline.com/doi/abs/10.1080/00779962.2009.9722172","Taylor and Francis","10.1080/00779962.2009.9722172","2009 02","The Tahitian Mecyclothorax also exhibit a sclerotised dorsal plate at the apex of the internal sac as","15646"
"58ceb252cf58f169c91b6799","Revision of the New Zealand species of Mecyclothorax Sharp (Coleoptera: Carabidae: Psydrinae, Mecyclothoracini) and the consequent removal of several species to Meonochilus gen. n. (Psydrinae, Meonini)","New Zealand Entomologist","Liebherr, James K.; Marris, John W. M.","5","http://www.tandfonline.com/doi/abs/10.1080/00779962.2009.9722172","Taylor and Francis","10.1080/00779962.2009.9722172","2009 02","Male aedeagus of Mecyclothorax spp.: Fig. 13, M. oopteroides, sp. n. aedeagus, internal sac everted,","15646"
"58ceb252cf58f169c91b6799","Revision of the New Zealand species of Mecyclothorax Sharp (Coleoptera: Carabidae: Psydrinae, Mecyclothoracini) and the consequent removal of several species to Meonochilus gen. n. (Psydrinae, Meonini)","New Zealand Entomologist","Liebherr, James K.; Marris, John W. M.","5","http://www.tandfonline.com/doi/abs/10.1080/00779962.2009.9722172","Taylor and Francis","10.1080/00779962.2009.9722172","2009 02","right lateral view (eudorsal surface to left); Fig. 14, M. oopteroides aedeagus, internal sac everted","15646"
"58ceb252cf58f169c91b6799","Revision of the New Zealand species of Mecyclothorax Sharp (Coleoptera: Carabidae: Psydrinae, Mecyclothoracini) and the consequent removal of several species to Meonochilus gen. n. (Psydrinae, Meonini)","New Zealand Entomologist","Liebherr, James K.; Marris, John W. M.","5","http://www.tandfonline.com/doi/abs/10.1080/00779962.2009.9722172","Taylor and Francis","10.1080/00779962.2009.9722172","2009 02","pattern, as the sacs of males of the two species are also essentially identical (Figs. 13, 16).","15646"
"57864bd4cf58f10c846f8548","Mammalian biochronology of the late Cenozoic basins of New Mexico","Geol Soc America Bull","TEDFORD, RICHARD H.","2","http://dx.doi.org/10.1130/0016-7606(1981)92<1008:mbotlc>2.0.co;2","GSA","10.1130/0016-7606(1981)92<1008:mbotlc>2.0.co;2","1981","undivided Santa Fe Formation; Kelley, 1977) on the eastern side of the Rio Grande in the vicinity of the Santo","12741"
"57864bd4cf58f10c846f8548","Mammalian biochronology of the late Cenozoic basins of New Mexico","Geol Soc America Bull","TEDFORD, RICHARD H.","2","http://dx.doi.org/10.1130/0016-7606(1981)92<1008:mbotlc>2.0.co;2","GSA","10.1130/0016-7606(1981)92<1008:mbotlc>2.0.co;2","1981","Domingo Pueblo in Sandoval County.","12741"
"58b2eda1cf58f13ecf38d176","Preliminary archaeoentomological analyses of permafrost-preserved cultural layers from the pre-contact Yup'ik Eskimo site of Nunalleq, Alaska: Implications, potential and methodological considerations","Environmental Archaeology","Forbes, Véronique; Britton, Kate; Knecht, Rick","1","http://www.tandfonline.com/doi/full/10.1179/1749631414Y.0000000037","Taylor and Francis","10.1179/1749631414Y.0000000037","2015 05","Fairly small numbers of crustaceans, including two ephippia (egg sacs) of water fleas (Cladocera) (Fig","10147"
"58b2eda1cf58f13ecf38d176","Preliminary archaeoentomological analyses of permafrost-preserved cultural layers from the pre-contact Yup'ik Eskimo site of Nunalleq, Alaska: Implications, potential and methodological considerations","Environmental Archaeology","Forbes, Véronique; Britton, Kate; Knecht, Rick","1","http://www.tandfonline.com/doi/full/10.1179/1749631414Y.0000000037","Taylor and Francis","10.1179/1749631414Y.0000000037","2015 05","Fairly small numbers of crustaceans, including two ephippia (egg sacs) of water fleas (Cladocera) (Fig","10148"
