"HOLO","Holocene"
"LHOL","Late Holocene"
"MHOL","Middle Holocene"
"EHOL","Early Holocene"
"WIHO","Wisconsin/Holocene"
"WISC","Wisconsin"
"LWSC","Late Wisconsin <35ka"
"MWSC","Middle Wisconsin 35-65ka"
"EWSC","Early Wisconsin 65-122ka"
"SANG","Sangamon 122-132ka"
"ILLI","Illinoian 132-302ka"
"PILL","Post Illinoian"
"PRIL","Pre-Illinoian >302ka"
"YARM","Yarmouthian"
"KANS","Kansan"
"PRKS","Pre-Kansan"
"AFTO","Aftonian"
"NEBR","Nebraskan"
"PRNB","Pre-Nebraskan"

