"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"54b43265e138239d8684ee72","Stable isotopes reflect the ecological stability of two high-elevation mammals from the late Quaternary of Colorado","Quaternary Research","McLean, Bryan S.; Emslie, Steven D.","1","http://www.sciencedirect.com/science/article/pii/S0033589412000208","Elsevier","10.1016/j.yqres.2012.02.001","May 2012","(Eds.), Prehistoric Human Bone: Archaeology at the Molecular Level.","9550"
"54f4aa42e13823054496a043","Stable isotopes in yellow-bellied marmot (Marmota flaviventris) fossils reveal environmental stability in the late Quaternary of the Colorado Rocky Mountains","Quaternary Research","Reynard, Linda M.; Meltzer, David J.; Emslie, Steven D.; Tuross, Noreen","1","http://www.sciencedirect.com/science/article/pii/S0033589414001483","Elsevier","10.1016/j.yqres.2014.12.006","March 2015","(Eds.), Prehistoric Human Bone: Archaeology at the Molecular Level.","9549"
"5a9676e2cf58f17264fae864","New evidence for Late Pleistocene human exploitation of Jefferson's Ground Sloth ( Megalonyx jeffersonii ) from northern Ohio, USA","World Archaeology","Redmond, Brian G.; McDonald, H Gregory; Greenfield, Haskel J.; Burr, Matthew L.","1","http://www.tandfonline.com/doi/abs/10.1080/00438243.2012.647576","Taylor and Francis","10.1080/00438243.2012.647576","2012 03","Notice of some fossil human bones. Transactions of the Wagner Free Institute, 2: 9– 10. Lo´ pez, P.","7288"
"54b43265e138239d8684ee72","Stable isotopes reflect the ecological stability of two high-elevation mammals from the late Quaternary of Colorado","Quaternary Research","McLean, Bryan S.; Emslie, Steven D.","1","http://www.sciencedirect.com/science/article/pii/S0033589412000208","Elsevier","10.1016/j.yqres.2012.02.001","May 2012","(Eds.), Prehistoric Human Bone: Archaeology at the Molecular Level.","9550"
"54f4aa42e13823054496a043","Stable isotopes in yellow-bellied marmot (Marmota flaviventris) fossils reveal environmental stability in the late Quaternary of the Colorado Rocky Mountains","Quaternary Research","Reynard, Linda M.; Meltzer, David J.; Emslie, Steven D.; Tuross, Noreen","1","http://www.sciencedirect.com/science/article/pii/S0033589414001483","Elsevier","10.1016/j.yqres.2014.12.006","March 2015","(Eds.), Prehistoric Human Bone: Archaeology at the Molecular Level.","9549"
"5a9676e2cf58f17264fae864","New evidence for Late Pleistocene human exploitation of Jefferson's Ground Sloth ( Megalonyx jeffersonii ) from northern Ohio, USA","World Archaeology","Redmond, Brian G.; McDonald, H Gregory; Greenfield, Haskel J.; Burr, Matthew L.","1","http://www.tandfonline.com/doi/abs/10.1080/00438243.2012.647576","Taylor and Francis","10.1080/00438243.2012.647576","2012 03","Notice of some fossil human bones. Transactions of the Wagner Free Institute, 2: 9– 10. Lo´ pez, P.","7288"
