"","siteid","collectionunitid","collunitname","datasetid","datasettype"
"549","28225",38153,"New Island Bone Pile 9",52547,"geochronologic"
"550","28225",38153,"New Island Bone Pile 9",52548,"vertebrate fauna"
"551","28225",38154,"New Island Bone Pile 10",52550,"vertebrate fauna"
"552","28225",38154,"New Island Bone Pile 10",52549,"geochronologic"
"553","28237",38169,"Nevali Cori",52575,"specimen stable isotope"
"554","28237",38169,"Nevali Cori",52576,"vertebrate fauna"
"555","28519",38618,"Ais Giorkis",53312,"specimen stable isotope"
"556","28519",38618,"Ais Giorkis",53313,"vertebrate fauna"
"557","26171",32448,"SLP2, SLP3, SL-2",45645,"geochronologic"
"558","26171",32448,"SLP2, SLP3, SL-2",45646,"plant macrofossil"
"559","26171",32448,"SLP2, SLP3, SL-2",45647,"charcoal"
"560","26171",32448,"SLP2, SLP3, SL-2",45648,"pollen"
"561","26171",32448,"SLP2, SLP3, SL-2",48758,"specimen stable isotope"
"562","26171",32448,"SLP2, SLP3, SL-2",48759,"plant macrofossil"
"563","28228",38157,NA,52554,"geochronologic"
"564","28228",38157,NA,52555,"vertebrate fauna"
"565","28235",38167,"Ugurlu Höyük",52571,"specimen stable isotope"
"566","28235",38167,"Ugurlu Höyük",52572,"vertebrate fauna"
"567","28237",38169,"Nevali Cori",52575,"specimen stable isotope"
"568","28237",38169,"Nevali Cori",52576,"vertebrate fauna"
"569","28519",38618,"Ais Giorkis",53312,"specimen stable isotope"
"570","28519",38618,"Ais Giorkis",53313,"vertebrate fauna"
"571","26171",32448,"SLP2, SLP3, SL-2",45645,"geochronologic"
"572","26171",32448,"SLP2, SLP3, SL-2",45646,"plant macrofossil"
"573","26171",32448,"SLP2, SLP3, SL-2",45647,"charcoal"
"574","26171",32448,"SLP2, SLP3, SL-2",45648,"pollen"
"575","26171",32448,"SLP2, SLP3, SL-2",48758,"specimen stable isotope"
"576","26171",32448,"SLP2, SLP3, SL-2",48759,"plant macrofossil"
"577","28225",38151,"New Island Bone Pile 7",52543,"geochronologic"
"578","28225",38151,"New Island Bone Pile 7",52544,"vertebrate fauna"
"579","28225",38152,"New Island Bone Pile 8",52545,"geochronologic"
"580","28225",38152,"New Island Bone Pile 8",52546,"vertebrate fauna"
"581","28225",38145,"New Island Bone Pile 1",52531,"geochronologic"
"582","28225",38145,"New Island Bone Pile 1",52532,"vertebrate fauna"
"583","28225",38146,"New Island Bone Pile 2",52533,"geochronologic"
"584","28225",38146,"New Island Bone Pile 2",52534,"vertebrate fauna"
"585","28225",38147,"New Island Bone Pile 3",52535,"geochronologic"
"586","28225",38147,"New Island Bone Pile 3",52536,"vertebrate fauna"
"587","28225",38148,"New Island Bone Pile 4",52537,"geochronologic"
"588","28225",38148,"New Island Bone Pile 4",52538,"vertebrate fauna"
"589","28225",38149,"New Island Bone Pile 5",52539,"geochronologic"
"590","28225",38149,"New Island Bone Pile 5",52540,"vertebrate fauna"
"591","28225",38150,"New Island Bone Pile 6",52541,"geochronologic"
"592","28225",38150,"New Island Bone Pile 6",52542,"vertebrate fauna"
"593","28225",38153,"New Island Bone Pile 9",52547,"geochronologic"
"594","28225",38153,"New Island Bone Pile 9",52548,"vertebrate fauna"
"595","28225",38154,"New Island Bone Pile 10",52550,"vertebrate fauna"
"596","28225",38154,"New Island Bone Pile 10",52549,"geochronologic"
"597","28228",38157,NA,52554,"geochronologic"
"598","28228",38157,NA,52555,"vertebrate fauna"
"599","28235",38167,"Ugurlu Höyük",52571,"specimen stable isotope"
"600","28235",38167,"Ugurlu Höyük",52572,"vertebrate fauna"
"601","28237",38169,"Nevali Cori",52575,"specimen stable isotope"
"602","28237",38169,"Nevali Cori",52576,"vertebrate fauna"
"603","28519",38618,"Ais Giorkis",53312,"specimen stable isotope"
"604","28519",38618,"Ais Giorkis",53313,"vertebrate fauna"
"605","26171",32448,"SLP2, SLP3, SL-2",45645,"geochronologic"
"606","26171",32448,"SLP2, SLP3, SL-2",45646,"plant macrofossil"
"607","26171",32448,"SLP2, SLP3, SL-2",45647,"charcoal"
"608","26171",32448,"SLP2, SLP3, SL-2",45648,"pollen"
"609","26171",32448,"SLP2, SLP3, SL-2",48758,"specimen stable isotope"
"610","26171",32448,"SLP2, SLP3, SL-2",48759,"plant macrofossil"
"611","28225",38151,"New Island Bone Pile 7",52543,"geochronologic"
"612","28225",38151,"New Island Bone Pile 7",52544,"vertebrate fauna"
"613","28225",38152,"New Island Bone Pile 8",52545,"geochronologic"
"614","28225",38152,"New Island Bone Pile 8",52546,"vertebrate fauna"
"615","28225",38145,"New Island Bone Pile 1",52531,"geochronologic"
"616","28225",38145,"New Island Bone Pile 1",52532,"vertebrate fauna"
"617","28225",38146,"New Island Bone Pile 2",52533,"geochronologic"
"618","28225",38146,"New Island Bone Pile 2",52534,"vertebrate fauna"
"619","28225",38147,"New Island Bone Pile 3",52535,"geochronologic"
"620","28225",38147,"New Island Bone Pile 3",52536,"vertebrate fauna"
"621","28225",38148,"New Island Bone Pile 4",52537,"geochronologic"
"622","28225",38148,"New Island Bone Pile 4",52538,"vertebrate fauna"
"623","28225",38149,"New Island Bone Pile 5",52539,"geochronologic"
"624","28225",38149,"New Island Bone Pile 5",52540,"vertebrate fauna"
"625","28225",38150,"New Island Bone Pile 6",52541,"geochronologic"
"626","28225",38150,"New Island Bone Pile 6",52542,"vertebrate fauna"
"627","28225",38153,"New Island Bone Pile 9",52547,"geochronologic"
"628","28225",38153,"New Island Bone Pile 9",52548,"vertebrate fauna"
"629","28225",38154,"New Island Bone Pile 10",52550,"vertebrate fauna"
"630","28225",38154,"New Island Bone Pile 10",52549,"geochronologic"
"631","28228",38157,NA,52554,"geochronologic"
"632","28228",38157,NA,52555,"vertebrate fauna"
"633","28235",38167,"Ugurlu Höyük",52571,"specimen stable isotope"
"634","28235",38167,"Ugurlu Höyük",52572,"vertebrate fauna"
"635","28237",38169,"Nevali Cori",52575,"specimen stable isotope"
"636","28237",38169,"Nevali Cori",52576,"vertebrate fauna"
"637","28519",38618,"Ais Giorkis",53312,"specimen stable isotope"
"638","28519",38618,"Ais Giorkis",53313,"vertebrate fauna"
"639","26171",32448,"SLP2, SLP3, SL-2",45645,"geochronologic"
"640","26171",32448,"SLP2, SLP3, SL-2",45646,"plant macrofossil"
"641","26171",32448,"SLP2, SLP3, SL-2",45647,"charcoal"
"642","26171",32448,"SLP2, SLP3, SL-2",45648,"pollen"
"643","26171",32448,"SLP2, SLP3, SL-2",48758,"specimen stable isotope"
"644","26171",32448,"SLP2, SLP3, SL-2",48759,"plant macrofossil"
"645","28225",38151,"New Island Bone Pile 7",52543,"geochronologic"
"646","28225",38151,"New Island Bone Pile 7",52544,"vertebrate fauna"
"647","28225",38152,"New Island Bone Pile 8",52545,"geochronologic"
"648","28225",38152,"New Island Bone Pile 8",52546,"vertebrate fauna"
"649","28225",38145,"New Island Bone Pile 1",52531,"geochronologic"
"650","28225",38145,"New Island Bone Pile 1",52532,"vertebrate fauna"
"651","28225",38146,"New Island Bone Pile 2",52533,"geochronologic"
"652","28225",38146,"New Island Bone Pile 2",52534,"vertebrate fauna"
"653","28225",38147,"New Island Bone Pile 3",52535,"geochronologic"
"654","28225",38147,"New Island Bone Pile 3",52536,"vertebrate fauna"
"655","28225",38148,"New Island Bone Pile 4",52537,"geochronologic"
"656","28225",38148,"New Island Bone Pile 4",52538,"vertebrate fauna"
"657","28225",38149,"New Island Bone Pile 5",52539,"geochronologic"
"658","28225",38149,"New Island Bone Pile 5",52540,"vertebrate fauna"
"659","28225",38150,"New Island Bone Pile 6",52541,"geochronologic"
"660","28225",38150,"New Island Bone Pile 6",52542,"vertebrate fauna"
"661","28225",38153,"New Island Bone Pile 9",52547,"geochronologic"
"662","28225",38153,"New Island Bone Pile 9",52548,"vertebrate fauna"
"663","28225",38154,"New Island Bone Pile 10",52550,"vertebrate fauna"
"664","28225",38154,"New Island Bone Pile 10",52549,"geochronologic"
"665","28229",38158,NA,52556,"geochronologic"
"666","28229",38158,NA,52557,"vertebrate fauna"
"667","28235",38167,"Ugurlu Höyük",52571,"specimen stable isotope"
"668","28235",38167,"Ugurlu Höyük",52572,"vertebrate fauna"
"669","28237",38169,"Nevali Cori",52575,"specimen stable isotope"
"670","28237",38169,"Nevali Cori",52576,"vertebrate fauna"
"671","28519",38618,"Ais Giorkis",53312,"specimen stable isotope"
"672","28519",38618,"Ais Giorkis",53313,"vertebrate fauna"
"673","26171",32448,"SLP2, SLP3, SL-2",45645,"geochronologic"
"674","26171",32448,"SLP2, SLP3, SL-2",45646,"plant macrofossil"
"675","26171",32448,"SLP2, SLP3, SL-2",45647,"charcoal"
"676","26171",32448,"SLP2, SLP3, SL-2",45648,"pollen"
"677","26171",32448,"SLP2, SLP3, SL-2",48758,"specimen stable isotope"
"678","26171",32448,"SLP2, SLP3, SL-2",48759,"plant macrofossil"
"679","28225",38151,"New Island Bone Pile 7",52543,"geochronologic"
"680","28225",38151,"New Island Bone Pile 7",52544,"vertebrate fauna"
"681","28225",38152,"New Island Bone Pile 8",52545,"geochronologic"
"682","28225",38152,"New Island Bone Pile 8",52546,"vertebrate fauna"
"683","28225",38145,"New Island Bone Pile 1",52531,"geochronologic"
"684","28225",38145,"New Island Bone Pile 1",52532,"vertebrate fauna"
"685","28225",38146,"New Island Bone Pile 2",52533,"geochronologic"
"686","28225",38146,"New Island Bone Pile 2",52534,"vertebrate fauna"
"687","28225",38147,"New Island Bone Pile 3",52535,"geochronologic"
"688","28225",38147,"New Island Bone Pile 3",52536,"vertebrate fauna"
"689","28225",38148,"New Island Bone Pile 4",52537,"geochronologic"
"690","28225",38148,"New Island Bone Pile 4",52538,"vertebrate fauna"
"691","28225",38149,"New Island Bone Pile 5",52539,"geochronologic"
"692","28225",38149,"New Island Bone Pile 5",52540,"vertebrate fauna"
"693","28225",38150,"New Island Bone Pile 6",52541,"geochronologic"
"694","28225",38150,"New Island Bone Pile 6",52542,"vertebrate fauna"
"695","28225",38153,"New Island Bone Pile 9",52547,"geochronologic"
"696","28225",38153,"New Island Bone Pile 9",52548,"vertebrate fauna"
"697","28225",38154,"New Island Bone Pile 10",52550,"vertebrate fauna"
"698","28225",38154,"New Island Bone Pile 10",52549,"geochronologic"
"699","28229",38158,NA,52556,"geochronologic"
"700","28229",38158,NA,52557,"vertebrate fauna"
"701","28235",38167,"Ugurlu Höyük",52571,"specimen stable isotope"
"702","28235",38167,"Ugurlu Höyük",52572,"vertebrate fauna"
"703","28237",38169,"Nevali Cori",52575,"specimen stable isotope"
"704","28237",38169,"Nevali Cori",52576,"vertebrate fauna"
"705","28519",38618,"Ais Giorkis",53312,"specimen stable isotope"
"706","28519",38618,"Ais Giorkis",53313,"vertebrate fauna"
"707","26171",32448,"SLP2, SLP3, SL-2",45645,"geochronologic"
"708","26171",32448,"SLP2, SLP3, SL-2",45646,"plant macrofossil"
"709","26171",32448,"SLP2, SLP3, SL-2",45647,"charcoal"
"710","26171",32448,"SLP2, SLP3, SL-2",45648,"pollen"
"711","26171",32448,"SLP2, SLP3, SL-2",48758,"specimen stable isotope"
"712","26171",32448,"SLP2, SLP3, SL-2",48759,"plant macrofossil"
"713","28225",38151,"New Island Bone Pile 7",52543,"geochronologic"
"714","28225",38151,"New Island Bone Pile 7",52544,"vertebrate fauna"
"715","28225",38152,"New Island Bone Pile 8",52545,"geochronologic"
"716","28225",38152,"New Island Bone Pile 8",52546,"vertebrate fauna"
"717","28225",38145,"New Island Bone Pile 1",52531,"geochronologic"
"718","28225",38145,"New Island Bone Pile 1",52532,"vertebrate fauna"
"719","28225",38146,"New Island Bone Pile 2",52533,"geochronologic"
"720","28225",38146,"New Island Bone Pile 2",52534,"vertebrate fauna"
"721","28225",38147,"New Island Bone Pile 3",52535,"geochronologic"
"722","28225",38147,"New Island Bone Pile 3",52536,"vertebrate fauna"
"723","28225",38148,"New Island Bone Pile 4",52537,"geochronologic"
"724","28225",38148,"New Island Bone Pile 4",52538,"vertebrate fauna"
"725","28225",38149,"New Island Bone Pile 5",52539,"geochronologic"
"726","28225",38149,"New Island Bone Pile 5",52540,"vertebrate fauna"
"727","28225",38150,"New Island Bone Pile 6",52541,"geochronologic"
"728","28225",38150,"New Island Bone Pile 6",52542,"vertebrate fauna"
"729","28225",38153,"New Island Bone Pile 9",52547,"geochronologic"
"730","28225",38153,"New Island Bone Pile 9",52548,"vertebrate fauna"
"731","28225",38154,"New Island Bone Pile 10",52550,"vertebrate fauna"
"732","28225",38154,"New Island Bone Pile 10",52549,"geochronologic"
"733","28229",38158,NA,52556,"geochronologic"
"734","28229",38158,NA,52557,"vertebrate fauna"
"735","28235",38167,"Ugurlu Höyük",52571,"specimen stable isotope"
"736","28235",38167,"Ugurlu Höyük",52572,"vertebrate fauna"
"737","28237",38169,"Nevali Cori",52575,"specimen stable isotope"
"738","28237",38169,"Nevali Cori",52576,"vertebrate fauna"
"739","28519",38618,"Ais Giorkis",53312,"specimen stable isotope"
"740","28519",38618,"Ais Giorkis",53313,"vertebrate fauna"
"741","26171",32448,"SLP2, SLP3, SL-2",45645,"geochronologic"
"742","26171",32448,"SLP2, SLP3, SL-2",45646,"plant macrofossil"
"743","26171",32448,"SLP2, SLP3, SL-2",45647,"charcoal"
"744","26171",32448,"SLP2, SLP3, SL-2",45648,"pollen"
"745","26171",32448,"SLP2, SLP3, SL-2",48758,"specimen stable isotope"
"746","26171",32448,"SLP2, SLP3, SL-2",48759,"plant macrofossil"
"747","28225",38151,"New Island Bone Pile 7",52543,"geochronologic"
"748","28225",38151,"New Island Bone Pile 7",52544,"vertebrate fauna"
"749","28225",38152,"New Island Bone Pile 8",52545,"geochronologic"
"750","28225",38152,"New Island Bone Pile 8",52546,"vertebrate fauna"
"751","28225",38145,"New Island Bone Pile 1",52531,"geochronologic"
"752","28225",38145,"New Island Bone Pile 1",52532,"vertebrate fauna"
"753","28225",38146,"New Island Bone Pile 2",52533,"geochronologic"
"754","28225",38146,"New Island Bone Pile 2",52534,"vertebrate fauna"
"755","28225",38147,"New Island Bone Pile 3",52535,"geochronologic"
"756","28225",38147,"New Island Bone Pile 3",52536,"vertebrate fauna"
"757","28225",38148,"New Island Bone Pile 4",52537,"geochronologic"
"758","28225",38148,"New Island Bone Pile 4",52538,"vertebrate fauna"
"759","28225",38149,"New Island Bone Pile 5",52539,"geochronologic"
"760","28225",38149,"New Island Bone Pile 5",52540,"vertebrate fauna"
"761","28225",38150,"New Island Bone Pile 6",52541,"geochronologic"
"762","28225",38150,"New Island Bone Pile 6",52542,"vertebrate fauna"
"763","28225",38153,"New Island Bone Pile 9",52547,"geochronologic"
"764","28225",38153,"New Island Bone Pile 9",52548,"vertebrate fauna"
"765","28225",38154,"New Island Bone Pile 10",52550,"vertebrate fauna"
"766","28225",38154,"New Island Bone Pile 10",52549,"geochronologic"
"767","28235",38167,"Ugurlu Höyük",52571,"specimen stable isotope"
"768","28235",38167,"Ugurlu Höyük",52572,"vertebrate fauna"
"769","28237",38169,"Nevali Cori",52575,"specimen stable isotope"
"770","28237",38169,"Nevali Cori",52576,"vertebrate fauna"
"771","28519",38618,"Ais Giorkis",53312,"specimen stable isotope"
"772","28519",38618,"Ais Giorkis",53313,"vertebrate fauna"
"773","26171",32448,"SLP2, SLP3, SL-2",45645,"geochronologic"
"774","26171",32448,"SLP2, SLP3, SL-2",45646,"plant macrofossil"
"775","26171",32448,"SLP2, SLP3, SL-2",45647,"charcoal"
"776","26171",32448,"SLP2, SLP3, SL-2",45648,"pollen"
"777","26171",32448,"SLP2, SLP3, SL-2",48758,"specimen stable isotope"
"778","26171",32448,"SLP2, SLP3, SL-2",48759,"plant macrofossil"
"779","28225",38151,"New Island Bone Pile 7",52543,"geochronologic"
"780","28225",38151,"New Island Bone Pile 7",52544,"vertebrate fauna"
"781","28225",38152,"New Island Bone Pile 8",52545,"geochronologic"
"782","28225",38152,"New Island Bone Pile 8",52546,"vertebrate fauna"
"783","28225",38145,"New Island Bone Pile 1",52531,"geochronologic"
"784","28225",38145,"New Island Bone Pile 1",52532,"vertebrate fauna"
"785","28225",38146,"New Island Bone Pile 2",52533,"geochronologic"
"786","28225",38146,"New Island Bone Pile 2",52534,"vertebrate fauna"
"787","28225",38147,"New Island Bone Pile 3",52535,"geochronologic"
"788","28225",38147,"New Island Bone Pile 3",52536,"vertebrate fauna"
"789","28225",38148,"New Island Bone Pile 4",52537,"geochronologic"
"790","28225",38148,"New Island Bone Pile 4",52538,"vertebrate fauna"
"791","28225",38149,"New Island Bone Pile 5",52539,"geochronologic"
"792","28225",38149,"New Island Bone Pile 5",52540,"vertebrate fauna"
"793","28225",38150,"New Island Bone Pile 6",52541,"geochronologic"
"794","28225",38150,"New Island Bone Pile 6",52542,"vertebrate fauna"
"795","28225",38153,"New Island Bone Pile 9",52547,"geochronologic"
"796","28225",38153,"New Island Bone Pile 9",52548,"vertebrate fauna"
"797","28225",38154,"New Island Bone Pile 10",52550,"vertebrate fauna"
"798","28225",38154,"New Island Bone Pile 10",52549,"geochronologic"
"799","28235",38167,"Ugurlu Höyük",52571,"specimen stable isotope"
"800","28235",38167,"Ugurlu Höyük",52572,"vertebrate fauna"
"801","28237",38169,"Nevali Cori",52575,"specimen stable isotope"
"802","28237",38169,"Nevali Cori",52576,"vertebrate fauna"
"803","28519",38618,"Ais Giorkis",53312,"specimen stable isotope"
"804","28519",38618,"Ais Giorkis",53313,"vertebrate fauna"
"805","3562",4450,"Locality",4595,"vertebrate fauna"
"806","3562",4450,"Locality",9296,"geochronologic"
"807","3593",4490,"Locality",4635,"vertebrate fauna"
"808","3593",4490,"Locality",9315,"geochronologic"
"809","27290",35162,"Settlement areas A-C",48819,"specimen stable isotope"
"810","27290",35162,"Settlement areas A-C",48820,"vertebrate fauna"
"811","27290",35164,"Settlement Areas B - C",48823,"specimen stable isotope"
"812","27290",35164,"Settlement Areas B - C",48824,"vertebrate fauna"
"813","27291",35163,"Mound",48821,"specimen stable isotope"
"814","27291",35163,"Mound",48822,"vertebrate fauna"
"815","27293",35166,"Settlement",48827,"specimen stable isotope"
"816","27293",35166,"Settlement",48828,"vertebrate fauna"
"817","27294",35167,"Extramural Cemetery",48829,"specimen stable isotope"
"818","27294",35167,"Extramural Cemetery",48830,"vertebrate fauna"
"819","27302",35175,"Caprine Assemblage",48850,"specimen stable isotope"
"820","27302",35175,"Caprine Assemblage",48851,"vertebrate fauna"
"821","28237",38169,"Nevali Cori",52575,"specimen stable isotope"
"822","28237",38169,"Nevali Cori",52576,"vertebrate fauna"
"823","28519",38618,"Ais Giorkis",53312,"specimen stable isotope"
"824","28519",38618,"Ais Giorkis",53313,"vertebrate fauna"
"825","3546",4429,"Locality",4574,"vertebrate fauna"
"826","3546",4430,"Unit A",4575,"vertebrate fauna"
"827","3546",4430,"Unit A",9282,"geochronologic"
"828","3546",4431,"Unit A/B",4576,"vertebrate fauna"
"829","3546",4432,"Unit B",4577,"vertebrate fauna"
"830","3546",4433,"Unit C",4578,"vertebrate fauna"
"831","3546",4433,"Unit C",9283,"geochronologic"
"832","3546",4434,"Locality",4579,"vertebrate fauna"
"833","3546",4434,"Locality",10603,"macroinvertebrate"
"834","3558",4446,"Locality",4591,"vertebrate fauna"
"835","3558",4446,"Locality",9292,"geochronologic"
"836","3558",35355,NA,49230,"geochronologic"
"837","3558",35355,NA,49231,"vertebrate fauna"
"838","3560",4448,"Locality",4593,"vertebrate fauna"
"839","3560",4448,"Locality",9294,"geochronologic"
"840","3561",4449,"Locality",4594,"vertebrate fauna"
"841","3561",4449,"Locality",9295,"geochronologic"
"842","3563",4451,"Armadillo Pit (II)",4596,"vertebrate fauna"
"843","3563",4452,"Sloth Pit (III)",4597,"vertebrate fauna"
"844","3563",4453,"Young Brothers Room (I)",4598,"vertebrate fauna"
"845","3563",35348,"Caribou Pit",49213,"geochronologic"
"846","3563",35348,"Caribou Pit",49214,"vertebrate fauna"
"847","3593",4490,"Locality",4635,"vertebrate fauna"
"848","3593",4490,"Locality",9315,"geochronologic"
"849","3864",4789,"Locality",4934,"vertebrate fauna"
"850","3864",4789,"Locality",9447,"geochronologic"
"851","4415",5417,"Locality",5562,"vertebrate fauna"
"852","4415",5417,"Locality",9695,"geochronologic"
"853","5736",6918,"Locality",7063,"vertebrate fauna"
"854","5736",6918,"Locality",10193,"geochronologic"
"855","5782",6965,"Locality",7110,"vertebrate fauna"
"856","5782",6965,"Locality",10219,"geochronologic"
"857","5782",6965,"Locality",49232,"vertebrate fauna"
"858","5784",6967,"Locality",7112,"vertebrate fauna"
"859","5784",6967,"Locality",10220,"geochronologic"
"860","27290",35162,"Settlement areas A-C",48819,"specimen stable isotope"
"861","27290",35162,"Settlement areas A-C",48820,"vertebrate fauna"
"862","27290",35164,"Settlement Areas B - C",48823,"specimen stable isotope"
"863","27290",35164,"Settlement Areas B - C",48824,"vertebrate fauna"
"864","27291",35163,"Mound",48821,"specimen stable isotope"
"865","27291",35163,"Mound",48822,"vertebrate fauna"
"866","27293",35166,"Settlement",48827,"specimen stable isotope"
"867","27293",35166,"Settlement",48828,"vertebrate fauna"
"868","27294",35167,"Extramural Cemetery",48829,"specimen stable isotope"
"869","27294",35167,"Extramural Cemetery",48830,"vertebrate fauna"
"870","27429",35373,"Area 2",49270,"geochronologic"
"871","27429",35373,"Area 2",49271,"vertebrate fauna"
"872","27429",35375,"Area 1",49273,"geochronologic"
"873","27429",35375,"Area 1",49274,"vertebrate fauna"
"874","27430",35377,"Unit 1",49277,"geochronologic"
"875","27430",35377,"Unit 1",49278,"vertebrate fauna"
"876","27431",35378,"#2",49279,"geochronologic"
"877","27431",35378,"#2",49280,"vertebrate fauna"
"878","27496",35450,NA,49365,"geochronologic"
"879","27496",35450,NA,49366,"vertebrate fauna"
"880","28207",38126,"Markia Alonia",52490,"specimen stable isotope"
"881","28207",38126,"Markia Alonia",52491,"vertebrate fauna"
"882","28225",38151,"New Island Bone Pile 7",52543,"geochronologic"
"883","28225",38151,"New Island Bone Pile 7",52544,"vertebrate fauna"
"884","28225",38152,"New Island Bone Pile 8",52545,"geochronologic"
"885","28225",38152,"New Island Bone Pile 8",52546,"vertebrate fauna"
"886","28225",38145,"New Island Bone Pile 1",52531,"geochronologic"
"887","28225",38145,"New Island Bone Pile 1",52532,"vertebrate fauna"
"888","28225",38146,"New Island Bone Pile 2",52533,"geochronologic"
"889","28225",38146,"New Island Bone Pile 2",52534,"vertebrate fauna"
"890","28225",38147,"New Island Bone Pile 3",52535,"geochronologic"
"891","28225",38147,"New Island Bone Pile 3",52536,"vertebrate fauna"
"892","28225",38148,"New Island Bone Pile 4",52537,"geochronologic"
"893","28225",38148,"New Island Bone Pile 4",52538,"vertebrate fauna"
"894","28225",38149,"New Island Bone Pile 5",52539,"geochronologic"
"895","28225",38149,"New Island Bone Pile 5",52540,"vertebrate fauna"
"896","28225",38150,"New Island Bone Pile 6",52541,"geochronologic"
"897","28225",38150,"New Island Bone Pile 6",52542,"vertebrate fauna"
"898","28225",38153,"New Island Bone Pile 9",52547,"geochronologic"
"899","28225",38153,"New Island Bone Pile 9",52548,"vertebrate fauna"
"900","28225",38154,"New Island Bone Pile 10",52550,"vertebrate fauna"
"901","28225",38154,"New Island Bone Pile 10",52549,"geochronologic"
"902","28237",38169,"Nevali Cori",52575,"specimen stable isotope"
"903","28237",38169,"Nevali Cori",52576,"vertebrate fauna"
"904","28519",38618,"Ais Giorkis",53312,"specimen stable isotope"
"905","28519",38618,"Ais Giorkis",53313,"vertebrate fauna"
"906","3546",4429,"Locality",4574,"vertebrate fauna"
"907","3546",4430,"Unit A",4575,"vertebrate fauna"
"908","3546",4430,"Unit A",9282,"geochronologic"
"909","3546",4431,"Unit A/B",4576,"vertebrate fauna"
"910","3546",4432,"Unit B",4577,"vertebrate fauna"
"911","3546",4433,"Unit C",4578,"vertebrate fauna"
"912","3546",4433,"Unit C",9283,"geochronologic"
"913","3546",4434,"Locality",4579,"vertebrate fauna"
"914","3546",4434,"Locality",10603,"macroinvertebrate"
"915","3558",4446,"Locality",4591,"vertebrate fauna"
"916","3558",4446,"Locality",9292,"geochronologic"
"917","3558",35355,NA,49230,"geochronologic"
"918","3558",35355,NA,49231,"vertebrate fauna"
"919","3560",4448,"Locality",4593,"vertebrate fauna"
"920","3560",4448,"Locality",9294,"geochronologic"
"921","3561",4449,"Locality",4594,"vertebrate fauna"
"922","3561",4449,"Locality",9295,"geochronologic"
"923","3562",4450,"Locality",4595,"vertebrate fauna"
"924","3562",4450,"Locality",9296,"geochronologic"
"925","3563",4451,"Armadillo Pit (II)",4596,"vertebrate fauna"
"926","3563",4452,"Sloth Pit (III)",4597,"vertebrate fauna"
"927","3563",4453,"Young Brothers Room (I)",4598,"vertebrate fauna"
"928","3563",35348,"Caribou Pit",49213,"geochronologic"
"929","3563",35348,"Caribou Pit",49214,"vertebrate fauna"
"930","3593",4490,"Locality",4635,"vertebrate fauna"
"931","3593",4490,"Locality",9315,"geochronologic"
"932","5736",6918,"Locality",7063,"vertebrate fauna"
"933","5736",6918,"Locality",10193,"geochronologic"
"934","5782",6965,"Locality",7110,"vertebrate fauna"
"935","5782",6965,"Locality",10219,"geochronologic"
"936","5782",6965,"Locality",49232,"vertebrate fauna"
"937","5784",6967,"Locality",7112,"vertebrate fauna"
"938","5784",6967,"Locality",10220,"geochronologic"
"939","6033",7225,"Locality",7370,"vertebrate fauna"
"940","6033",7225,"Locality",10262,"geochronologic"
"941","6033",35379,"#1",49281,"geochronologic"
"942","6033",35379,"#1",49282,"vertebrate fauna"
"943","27294",35167,"Extramural Cemetery",48829,"specimen stable isotope"
"944","27294",35167,"Extramural Cemetery",48830,"vertebrate fauna"
"945","27302",35175,"Caprine Assemblage",48850,"specimen stable isotope"
"946","27302",35175,"Caprine Assemblage",48851,"vertebrate fauna"
"947","27429",35373,"Area 2",49270,"geochronologic"
"948","27429",35373,"Area 2",49271,"vertebrate fauna"
"949","27429",35375,"Area 1",49273,"geochronologic"
"950","27429",35375,"Area 1",49274,"vertebrate fauna"
"951","27430",35377,"Unit 1",49277,"geochronologic"
"952","27430",35377,"Unit 1",49278,"vertebrate fauna"
"953","28207",38126,"Markia Alonia",52490,"specimen stable isotope"
"954","28207",38126,"Markia Alonia",52491,"vertebrate fauna"
"955","3546",4429,"Locality",4574,"vertebrate fauna"
"956","3546",4430,"Unit A",4575,"vertebrate fauna"
"957","3546",4430,"Unit A",9282,"geochronologic"
"958","3546",4431,"Unit A/B",4576,"vertebrate fauna"
"959","3546",4432,"Unit B",4577,"vertebrate fauna"
"960","3546",4433,"Unit C",4578,"vertebrate fauna"
"961","3546",4433,"Unit C",9283,"geochronologic"
"962","3546",4434,"Locality",4579,"vertebrate fauna"
"963","3546",4434,"Locality",10603,"macroinvertebrate"
"964","3558",4446,"Locality",4591,"vertebrate fauna"
"965","3558",4446,"Locality",9292,"geochronologic"
"966","3558",35355,NA,49230,"geochronologic"
"967","3558",35355,NA,49231,"vertebrate fauna"
"968","3560",4448,"Locality",4593,"vertebrate fauna"
"969","3560",4448,"Locality",9294,"geochronologic"
"970","3561",4449,"Locality",4594,"vertebrate fauna"
"971","3561",4449,"Locality",9295,"geochronologic"
"972","3562",4450,"Locality",4595,"vertebrate fauna"
"973","3562",4450,"Locality",9296,"geochronologic"
"974","3593",4490,"Locality",4635,"vertebrate fauna"
"975","3593",4490,"Locality",9315,"geochronologic"
"976","27290",35162,"Settlement areas A-C",48819,"specimen stable isotope"
"977","27290",35162,"Settlement areas A-C",48820,"vertebrate fauna"
"978","27290",35164,"Settlement Areas B - C",48823,"specimen stable isotope"
"979","27290",35164,"Settlement Areas B - C",48824,"vertebrate fauna"
"980","27291",35163,"Mound",48821,"specimen stable isotope"
